Command,Purpose
"git config --global user.name ""Name""",Set username
"git config --global user.email ""Email""",Set email
git config --list,Show config
git clone <url>,Clone repo
git status,Show file status
git add <file>,Stage file
git add .,Stage all files
"git commit -m ""msg""",Commit changes
git push origin main,Push to remote
git pull origin main,Pull from remote
git init,Initialize repo
git remote add origin <url>,Link remote
git branch,List branches
git branch -M main,Rename branch
git checkout <branch>,Switch branch
git checkout -b <new>,Create branch
git branch -d <branch>,Delete branch
git merge <branch>,Merge branch
git diff <branch>,Compare changes
git reset <file>,Unstage file
git reset HEAD~1,Undo last commit
git reset <hash>,Reset to commit
git reset --hard <hash>,Hard reset
git log,View history
git log --oneline,Compact history
git stash,Save changes temporarily
git stash pop,Restore stashed changes
git revert <hash>,Undo commit safely
git remote -v,Show remotes
rm -rf .git,Remove Git tracking
rm -rf <folder>,Delete local repo
